id,date,,year,month,weekend,days,dates,holiday,name,times,venue,street,city,state,country,books,directions,formula,info,,,
116,2019-05-11,,2019,May,2nd,Saturday,11,,Boston Singing,10:00 a.m.,St. Paul's Episcopal,15 St. Paul St.,Brookline,MA,USA,3,,,www.bostonsacredharp.org,,,
117,2019-05-11,,2019,May,2nd,Saturday,11,,Mid-Michigan Singing,,Faith Lutheran Church,,Okemos,MI,USA,3,,,Bob Borcherding/Anne Missavage,,,
118,2019-05-11,,2019,May,2nd,Saturday,11,,Bristol Singing,10:30 a.m.,Frenchay Quaker Meeting House,Beckspool Road,Bristol,,UK,3,,,bristolsacredharp.org,,,
119,2019-05-11,,2019,May,2nd,Saturday,11,,J.W. Bassett Memorial and Stockholders Meeting,,Traveler’s Rest Church,,Samson,AL,USA,1,,,Tommie Spurlock or Wayne Jones,,,
120,2019-05-18,,2019,May,3rd,Saturday,18,,Los Angeles Regional Singing,,"Angels Gate Cultural Center, Building H",,San Pedro,CA,USA,3,,,homepage.smc.edu/russell_richard/fasola/,,,
121,2019-05-18,,2019,May,3rd,Saturday,18,,Mentone Rhododendron Festival Singing,9:30 a.m.,St. Joseph’s Church,,Mentone,AL,USA,3,,,Susan Cherones,,,
122,2019-05-18,,2019,May,3rd,Saturday,18,,Kenneth Fannin Memorial and Providence Singing,10:00 a.m.,Mt. Olive Primitive Baptist Church at Providence,,Cullman County,AL,USA,3,"2 County Road 1428, Vinemont, Alabama 35179. Located on eastern side of Cullman County Road 1435.",,,,,
123,2019-05-18,,2019,May,3rd,Saturday,18,,Kentucky State Sacred Harp Convention,,Pisgah Presbyterian Church,,Versailles,KT,USA,3,Near Lexington,,Charles Coulston,,,
124,2019-05-18,,2019,May,3rd,Saturday,18,,Goodshaw Sacred Harp Singing,10:30 a.m.,Goodshaw Baptist Church,Chapel Street,"Goodshaw, Rossendale, Lancashire",,UK,3,,,Chris Brown/Judy Whiting,,,
125,2019-05-18,,2019,May,3rd,Saturday,18,,Piney Grove,,Piney Grove Primitive Baptist Church,,Headland,AL,USA,1,"Hwy 173, 2 miles north of Headland",,Kathy Folsom,,,
126,2019-05-18,,2019,May,3rd,Saturday,18,,Washington Singing,,Washington United Methodist Church,,Washington,AR,USA,"1, 3",,,"P. Dan Brittain, Gaylon Powell",,,
127,2019-05-19,,2019,May,3rd,Sunday,19,,Cane Creek Church,9:30 a.m.,Cleburne County,,,AL,USA,3,"3.5 miles east of Heflin on U.S. Hwy. 78—33.685862,85.525712--one quarter mile south of intersection of US-78 and CR-66.",,David Brodeur,,,
128,2019-05-19,,2019,May,3rd,Sunday,19,,Concord Baptist Church,"12:00 Noon Dinner, singing at 1:00 p.m.",,,Calhoun County,MS,USA,3,West of Hwy. 32 at Ellard—In Ellard—Take County Road 238 west from Ellard to Concord. Cross Persimmon Bottom and continue up the hill to the church.,,,,,
129,2019-05-25,,2019,May,4th,Saturday,25,,Mount Pisgah Singing Society,9:00 a.m.,,31040 US Hwy 431,"Five Points, Chambers County",AL,USA,1,14 miles north of Lafayette and 7 miles south of Roanoke on U.S. Hwy. 431 at Stroud,,,,,
130,2019-05-25,,2019,May,4th,Saturday,25,,The Piccolo Spoleto Singing,10:00 a.m.,,,Charleston,SC,USA,3,"Gage Hall, 4 Archdale Street",,Michael Walker,,,
131,2019-05-25,,2019,May,4th,Saturday,25,,Gum Pond Singing,9:45 a.m.,Gum Pond Primitive Baptist Church,2086 Gum Pond Rd.,"Eva, (Morgan County)",AL,USA,3,,Singing moved from Sunday,Judy Caudle,,,
132,2019-05-25,,2019,May,4th,Saturday and Sunday,"25,26",,Midwest Convention,"9:30 a.m.-3:00 p.m., both days",,,Chicago,IL,USA,3,,,Randy Neufeld & Susan Geil or www.chicagosingings.org,,,
133,2019-05-25,,2019,May,4th,Saturday and Sunday,"25,26",,John Merritt Memorial Singing,,Old Courthouse Museum,1008 Cherry Street,Vicksburg,MS,USA,"3, 9, 1, 2",,,Mark Davis or Henry McGuire,,,
134,2019-05-25,,2019,May,4th,Saturday and Sunday,"25,26",,Germany Sacred Harp Convention,10:30 a.m.,,,Cologne,,Germany,3,,,"Dominik Fraune, dominikfraune@gmail.com",,,
135,2019-05-25,,2019,May,4th,Saturday and Sunday,"25,26",,The Big Singing,10:00 a.m.,Marshall County Courthouse on the Square,,Benton,KT,USA,"3, 8",,,Tim Reynolds,,,
136,2019-05-26,,2019,May,4th,Sunday,26,,Rocky Mount Homecoming/Hillabee Sacred Harp Convention,,Rocky Mount Primitive Baptist Church,,"Daviston, Tallapoosa County",AL,USA,3,,,,,,
137,2019-05-26,,2019,May,4th,Sunday,26,,Beda Church Singing,,,"20 miles southwest of Andalusia, Alabama, on Hwy 137 north of Wing",,AL,USA,1,"20 miles southwest of Andalusia, Alabama, on Hwy 137 north of Wing, Alabama",,Ken Kelley,,,
138,2019-05-27,,2019,May,4th,Monday,27,Memorial Day,Jack C. Smith Memorial Singing,10:00 a.m.-3:00 p.m.,Oakhurst Baptist Church,222 East Lake Drive,Decatur,GA,USA,3,,,John Plunkett,,,
139,2019-06-01,,2019,Jun,1st,Saturday,1,,Lamar and Pickens County Convention,,Zion Primitive Baptist Church,,Pickens County,AL,USA,3,,,,,,
140,2019-06-01,,2019,Jun,1st,Saturday,1,,Shaker Meetinghouse and Francis Bliss Memorial singing,,Sabbathday Lake Shaker Village Meetinghouse,,New Gloucester,ME,USA,3,,,Barb Ames,,,
141,2019-06-01,,2019,Jun,1st,Saturday,1,,Shady Grove,,Shady Grove Primitive Baptist Church,,Elba,AL,USA,1,approximately 7 miles north of Elba on Hwy 87 just past CR315 (dirt road circles back to Hwy 87). Church is on left going north,,Chip Westbrook,,,
142,2019-06-01,,2019,Jun,1st,Saturday,1,,Newcastle upon Tyne Singing,10:00 a.m.,"St. Bartholomew’s Church Hall, Station Road",,"Benton, Newcastle upon Tyne",,UK,3,,Singing held on Saturday following the last Monday in May,Phil and Cath Tyler,,,
143,2019-06-01,,2019,Jun,1st,Saturday and Sunday,"1,2",,Northern Shenandoah Valley Double All-Day Singing,10:00 a.m.,Charles Washington Hall,204 N. George St (12 miles north of Berryville VA),Charles Town,WV,USA,"3, 5",,,"John delRe or Kelly Macklin, singing from The Sacred Harp, 1991 Edition on Saturday; singing from The Shenandoah Harmony on Sunday",,,
144,2019-06-01,,2019,Jun,1st,Saturday and Sunday,"1,2",,Holly Springs Primitive Baptist Church,9:30 a.m.,,,"Near Bremen, Carroll County",GA,USA,3,,,Phillip Langley,,,
145,2019-06-01,,2019,Jun,1st,Saturday and Sunday,"1,2",,Oslo Sacred Harp Singing,Saturday 10:30 a.m.-4:00 p.m.—Sunday noon-3:30 p.m.,,Uranienborgveien 2 (Yellow house behind the castle),Oslo,,Norway,3,Singing school on Friday evening—Location to be announced,,Camilla Marie Widholm or Oskar Kvasnes,,,
146,2019-06-02,,2019,Jun,1st,Sunday,2,,Hill Roane Memorial,,Sherman Baptist Church,,Calhoun County,MS,USA,3,"On Hwy. 32, 10 miles west of Bruce—Dutch treat: singers bring lunch.",,,,,
147,2019-06-02,,2019,Jun,1st,Sunday,2,,Liberty Decoration Day Singing,9:30 a.m.,Liberty Church,,Henagar (DeKalb County),AL,USA,3,,,David Ivey,,,
148,2019-06-02,,2019,Jun,1st,Sunday,2,,Homecoming Singing,,Shady Hill Church,,Andalusia,AL,USA,1,,,Edd Bass,,,
149,2019-06-08,,2019,Jun,2nd,Saturday,8,,Albany NY All-Day Singing,10:00 a.m.,Old Songs Center,37 S. Main St.,Voorheesville,NY,USA,3,,,"Tarik Wareh, albanysacredharp.org",,,
150,2019-06-08,,2019,Jun,2nd,Saturday,8,,Raymond Hamrick Memorial Georgian Harmony Singing,,Roberta Civic Center,South Matthews Street,Roberta,GA,USA,3,,,John Plunkett,,,
151,2019-06-08,,2019,Jun,2nd,Saturday and Sunday,"8,9",,Hopewell Homecoming,9:00 a.m.,Hopewell Primitive Baptist Church,3596 Airport Road,"Altoona, Blount County",AL,USA,3,,,Nate Green,,,
152,2019-06-09,,2019,Jun,2nd,Sunday,9,,June Singing,10:00 a.m.,Alpharetta City Hall Building,2 Park Plaza,Alpharetta,GA,USA,3,"from Atlanta, exit GA400 North at Haynes Bridge—turn left—go to Old Milton Parkway—turn left—turn right on GA9—City Hall/Courthouse ¼ mile on right",,Helen Bryson,,,
153,2019-06-09,,2019,Jun,2nd,Sunday,9,,Oak Springs Church,"Dinner at noon, singing at 1:00 p.m.",,,Calhoun County,MS,USA,3,3 miles north of Derma,,,,,
154,2019-06-09,,2019,Jun,2nd,Sunday,9,,Aldridge Memorial,,Pleasant Hill Church (Johnson Schoolhouse),,Fayette County,AL,USA,3,,,"Elene Stovall, Bridgett Kennedy, or Joan Aldridge",,,
155,2019-06-09,,2019,Jun,2nd,Sunday-Thursday,9-13,,"Camp Fasola, Adult Session","Registration on Sunday at 4:00 p.m. Camp Ends Thursday at 8:30 a.m. Community Singing (all are invited) on Wed., June 12th, 7:00 p.m.",Camp McDowell,,Double Springs,AL,USA,3,,,David Ivey http://fasola.org/camp,,,
156,2019-06-13,,2019,Jun,3rd,Thursday-Saturday,13-15,,National Sacred Harp Singing Convention,9:30 a.m.,"Birmingham Square Dance Association, Friendship Hall",,Fultondale,AL,USA,3,,,Mark Davis,,,
157,2019-06-15,,2019,Jun,3rd,Saturday,15,,"Moore, Graves, and Calvert Memorial",,Addington Chapel Methodist Church,,Cullman County,AL,USA,3,"from I-65 take exit 299-go south on Hwy 69 toward Jasper approximately 10.8 miles-turn right onto County Road 59-go 1.5 miles, church will be on your right.",,,,,
158,2019-06-15,,2019,Jun,3rd,Saturday,15,,Exeter All Day Singing,,Exeter Friends Meetinghouse,,"Exeter Township, Berks County",PA,USA,3,U.S. 422 to Baumstown—Continue past homestead 1 mile to Meetinghouse Road—Left on Meetinghouse Road 0.2 miles to Meetinghouse on right,Set date of Saturday before the third Sunday in June,Ted Stokes,,,
159,2019-06-15,,2019,Jun,3rd,Saturday,15,,Mt. Adams All-Day Singing,,The Trout Lake Grange Hall,2390 Highway 141,Trout Lake,WA,USA,3,"Take I84 east, cross the river at Hood River, drive north on Hwy. 141 about 25 minutes—Friday night social in Trout Lake",,Melissa Stephenson,,,
160,2019-06-15,,2019,Jun,3rd,Saturday,15,,Leeds All-Day Singing,,South Parade Baptist Church,Kirkstall Lane,"Headingley, Leeds",,UK,3,,,Arja and John Copperwheat,,,
161,2019-06-15,,2019,Jun,3rd,Saturday,15,,Clermont-Ferrand Singing,,,,,Paris,France,3,,Friday night Singing School;  Saturday Singing; Sunday informal singing lunch,"Frederic Eymard, frederic.eymard@gmail.com",,,
162,2019-06-16,,2019,Jun,3rd,Sunday,16,,Zion Hill Memorial Singing,10:00 a.m.,Zion Hill Missionary Baptist Church,,Brachfield (Rusk County),TX,USA,1,About 12 miles southeast of Henderson—Take Farm to Market Road 840 toward Brachfield from Henderson—Turn right at the Welch Cemetery on County Road 368—Church is on the left,Always held on Father’s Day,Robert Vaughn,,,
163,2019-06-16,,2019,Jun,3rd,Sunday,16,,Hopewell Primitive Baptist Church,10:00 a.m.,,"2277 Hopewell Road, 2 miles east of Ephesus, off State Route 100",Heard County,GA,USA,3,,,Karen Rollins,,,
164,2019-06-16,,2019,Jun,3rd,Sunday,16,,Clifford Wakefield Memorial,,King School House (Mt. Vernon Baptist Church),,Winston County,AL,USA,3,,,,,,
165,2019-06-16,,2019,Jun,3rd,Sunday,16,,Macedonia Primitive Baptist Church,10:00 a.m.,,,Macedonia Community (Jackson County),AL,USA,3,4 miles south of Section—7 miles northwest of Fyffe on county road to Section,,Dennis George,,,
166,2019-06-16,,2019,Jun,3rd,Sunday,16,,Pleasant Home Baptist Church,9:30 a.m.,,6107 Eagle Road,Andalusia,AL,USA,1,,,Ken Kelley,,,
167,2019-06-22,,2019,Jun,4th,Saturday,22,,Salem United Methodist Church Singing,9:30 a.m.,,Near Cedar Bluff,Cherokee County,AL,USA,3,"On Alabama Highway 9 between Cedar Bluff, Alabama and the Georgia state line—7 miles from Cedar Bluff and 1 mile from the Georgia line",,Henry Johnson,,,
168,2019-06-22,,2019,Jun,4th,Saturday,22,,The Kermit and Steve Adams Memorial,,Shady Grove Primitive Baptist Church,,Winston County,AL,USA,3,,,,,,
169,2019-06-22,,2019,Jun,4th,Saturday,22,,Oxford Sacred Harp Singing,10:00 a.m.,Women’s Institute Hall,,"Botley, Oxford",,England,3,,,Edwin/Sheila Macadam,,,
170,2019-06-23,,2019,Jun,4th,Sunday,23,,DeLong-Roberts Memorial Singing,10:00 a.m.,Big Creek Primitive Baptist Church,4490 State Bridge Way,Alpharetta,GA,USA,3,Exit GA400 N at exit 10—Go east for 2.6 miles—turn left at traffic light on to Kimbell Bridge Road (past Chick Fil’a)—take second left into parking lot,,Jesse Roberts,,,
171,2019-06-23,,2019,Jun,4th,Sunday,23,,New Hope Church,,,,Cullman County,AL,USA,3,"Five miles south of Jones Chapel off Hwy. 278, turn south onto County Road 940—Church is on the right",,,,,
172,2019-06-23,,2019,Jun,4th,Sunday,23,,Mt. Lebanon Baptist Church,,,,Fayette County,AL ,USA,3,,,,,,
173,2019-06-30,,2019,Jun,5th,Sunday,30,,Mount Pisgah,,,,Sylvester (Worth County),GA,USA,3,10 miles southwest of Sylvester—From I-75—Take Hwy. 112 to Ashburn and through Sylvester—Turn left on Evergreen/Doerun Road—Go 5.5 miles—Church on right,Always the second fifth Sunday each year,Tim Meeks,,,
174,2019-06-30,,2019,Jun,5th,Sunday,30,,Alabama Bicentennial Sacred Harp Singing,9:30 a.m.,,,Birmingham,AL,USA,3,,,David Ivey,,,
175,2019-06-30,,2019,Jun,5th,Sunday,30,,"Old Chicora,(Hillsborough County)",,Bethlehem Primitive Baptist Church,17385 Bethlehem Rd,Lithia,FL,USA,1,,Fifth Sundays,Skylar Strickland or Janice Clenney,,,
176,2019-07-01,,2019,Jul,1st,Monday,1,,Independence Day Singing,9:00 a.m. CT,"Camp Lee, Lakeview Lodge",,Anniston,AL,USA,3,"from I20, exit 188, turn north to Choccolocco Road turn right, go 2.2 mi. Sign for camp on the left—Lunch is Dutch Treat $8.00 each",,,,,
177,2019-07-01,,2019,Jul,1st,Monday-Friday,1-5,,Camp Fasola (Youth Session),"Community Singing (all are invited) on Thurs., July 4th, 7:00 p.m.—Camp ends Friday July 5th at 9:00 a.m.",Camp Lee,,Anniston,AL,USA,3,,,David Ivey / http://fasola.org/camp,,,
178,2019-07-04,,2019,Jul,1st,Thursday-Saturday,"4,5,6",,Mountain View Shape Note Gathering,,"Thursday, Friday: Ozark Folk Center State Park Auditorium. Saturday-Old Mountain View High School",,Mountain View,AR,USA,"3, 2, 12",,"Held on Thursday evening, Friday, and Saturday following July 4","Dan Brittain, Gaylon Powell
Thursday evening-The Ozark Folk Center State Park Auditorium (Introduction). Friday-Ozark Folk Center White Oak Theater Stage (Singing and Teaching Seminar). Saturday-Old Mountain View High School, Mountain View, Arkansas (Singing from The Sacred Harp, 1991 Edition, Missouri Harmony, and Christian Harmony).",,,
179,2019-07-06,,2019,Jul,1st,Saturday,6,,Pioneer Valley Singing,10:00 a.m.-4:00 p.m.,First Congregational Church Chapel,,Sunderland,MA,USA,3,,,www.wmshc.org or Linda Shea,,,
180,2019-07-06,,2019,Jul,1st,Saturday,6,,Lewes Sacred Harp Singing Day,10:00 a.m.,"South Malling Parish Church, Church Lane",,"Lewes, E. Sussex",,UK,3,,,Rachel Jordan,,,
181,2019-07-06,,2019,Jul,1st,Saturday and Sunday,"6,7",,Henagar-Union Convention,Saturday 9:00 a.m. and Sunday 9:30 a.m.,Liberty Church,,DeKalb County,AL,USA,3,Two miles north of Henagar,,David Ivey,,,
182,2019-07-13,,2019,Jul,2nd,Saturday,13,,Flat Shoals Primitive Baptist Church Singing,,Flat Shoals Primitive Baptist Church,2052 Fairview Road,Stockbridge,GA,USA,3,,,Jesse Roberts,,,
183,2019-07-13,,2019,Jul,2nd,Saturday,13,,Victoria All-Day Singing,,Dickson Street Space,35-39 Dickson Street,"Newtown, Sydney, New South Wales",,Australia,3,,,Elaena Gardner / sydneyshapenote@gmail.com,,,
184,2019-07-13,,2019,Jul,2nd,Saturday,13,,Scotland Singing,,,,Edinburgh,,Scotland,3,,singing will rotate between Edinburgh and Glasgow,shapenotesscotland@gmail.com,,,
185,2019-07-13,,2019,Jul,2nd,Saturday and Sunday,"13,14",,Cullman County Singing Convention,9:30 a.m.,Cullman County Courthouse,,Cullman,AL,USA,3,,,,,,
186,2019-07-14,,2019,Jul,2nd,Sunday,14,,Hardeman Primitive Baptist Church,Preaching at 10:30 a.m.—Lunch at 12:15—Singing 1:15 p.m.,Hardeman Primitive Baptist Church,,Decatur (DeKalb County),GA,USA,9,,,,,,
187,2019-07-14,,2019,Jul,2nd,Sunday,14,,Rutherford Memorial,,Union Hill Singing Hall,Millers Crossroads,Bonifay,FL,USA,1,,,Russ Scholz,,,
188,2019-07-18,,2019,Jul,3rd,Thu,18,,Capitol City Shape Note Singing,9:30 a.m.,Loeb Reception Center (near Kiwanis Park),310 Columbus Ave.,Montgomery,AL,USA,3,Sponsored by the Alabama Center for Traditional Culture——Bring a sack lunch for the noon lunch break,Always held on the third Thursday in July,Joey Brackner,,,
189,2019-07-19,,2019,Jul,3rd,Friday and Saturday,"19,20",,Quebec Convention,Friday evening 7-9 p.m. and Saturday 10:00 a.m.,"Friday,  St. Georges Anglican Church, Lennoxville, Quebec.  Saturday,  Ways Mills Community Hall",,"Barnston-Quest, Quebec",,CA,3,,Friday and Saturday before the third Sunday in July,Chuck Neville,,,
190,2019-07-19,,2019,Jul,3rd,Saturday,20,,Walker County Convention,,Boldo United Methodist Church,55 Gray Street,Boldo,AL,USA,3,,,Glenn Keeton,,,
191,2019-07-20,,2019,Jul,3rd,Saturday,20,,Spivey Hall Singing,,"Spivey Hall, Clayton College and State University",,Morrow,GA,USA,3,,,,,,
192,2019-07-20,,2019,Jul,3rd,Saturday,20,,Michiana Singing,9:30 a.m.,Fairview Grange,22482 County Road 45,Goshen,IN,USA,3,Wilden Avenue in Goshen is County Road 45. Fairview Grange is in Dunlap 0.7 miles southeast of Ox Bow Park.,,Samuel Sommers,,,
193,2019-07-20,,2019,Jul,3rd,Saturday,20,,Melbourne All-Day Singing,,,,Melbourne,,Australia,3,,,Shawn Whelan/Natalie Sims/sacred_harp@yahoo.com.au,,,
194,2019-07-20,,2019,Jul,3rd,Saturday and Sunday,"20,21",,Rocky Mountain Convention,9:00 a.m.,Highland Recreation Center,2880 Oseola St.,Denver,CO,USA,"1, 3",,Third Sunday and Saturday before in July,"Corrie Van Duzer, Saturday, The Sacred Harp, 1991 Edition, Sunday, Cooper Book  ",,,
195,2019-07-20,,2019,Jul,3rd,Saturday and Sunday,"20,21",,Gwehelog Singing Weekend,10:00 a.m.,Gwehelog Methodist Chapel,,nr Usk,,UK,"2, 3",,Third Sunday and Saturday before in July,"bristolsacredharp.org, Saturday, The Sacred Harp, 1991 Edition, Sunday, Christian Harmony ",,,
196,2019-07-21,,2019,Jul,3rd,Sunday,21,,Kalamazoo Singing,9:30 a.m. EDT,Oshtemo Grange Hall,3234 North 3rd Street,Kalamazoo,MI,USA,3,"Located at the northeast corner of 3rd Street and H Avenue, northwest of Kalamazoo",,Bill/Martha Beverly,,,
197,2019-07-21,,2019,Jul,3rd,Sunday,21,,"Chafin, Harbinson, Hollis Memorial Singing",,New Prospect Church,,"Near Bremen, Cullman County",AL,USA,3,"From Cullman, Take Hwy. 69 south—Go past landfill—Take County Road 8 south—Go 1 mile (First paved road)—Take left and go 0.6 miles.",,,,,
198,2019-07-21,,2019,Jul,3rd,Sunday,21,,The Singing At Muscadine,9:30 a.m.,Muscadine Methodist Church,Corner of County Road 267 and County Road 49,Muscadine,AL,USA,3,,,Cecil Roberts,,,
199,2019-07-26,,2019,Jul,4th,Friday-Sunday,"26,27,28",,Maine Singing Weekend,"Friday night 6:00 p.m., Saturday 10:00 a.m., Sunday 10:00 a.m.","Friday night, Bristol Mills, Maine, Saturday and Sunday, Union Town House",,,ME,USA,"1, 3, 10",,,"maineshapenotesinging.org, Friday night, Cooper Book, Saturday,  The Sacred Harp, 1991 edition, Sunday, DH Mansfield American Vocalist",,,
200,2019-07-27,,2019,Jul,4th,Saturday,27,,Cotaco Convention,10:00 a.m.,Gum Pond Primitive Baptist Church,2086 Gum Pond Rd.,Eva (Morgan County)  ,AL,USA,3,,,Judy Caudle,,,
201,2019-07-27,,2019,Jul,4th,Saturday,27,,Swannanoa Gathering Singing,10:00 a.m.,Warren Wilson College,,Swannanoa,NC,USA,"3,2,8",,Coincides with summer programs at college.  Be sure to check listings for date changes.,Sarah Kehrberg,,,
202,2019-07-28,,2019,Jul,4th,Sunday,28,,Mt. Zion Memorial,10:00 a.m.,Mt. Zion United Methodist Church,,Mt. Zion (Carroll County),GA,USA,3,8.5 miles west of Carrollton on Hwy. 16—Behind school,,,,,
203,2019-08-03,,2019,Aug,1st,Saturday,3,,Lunsford and Jolly Memorial,,Christ Lutheran Church,"4761 Cass Street, Pacific Beach",San Diego,CA,USA,3,,,Mairye Bates,,,
204,2019-08-03,,2019,Aug,1st,Saturday,3,,Eugene Singing,9:30 a.m.,,,Eugene,OR,USA,3,,First Saturday in August,Karen Stingle,,,
205,2019-08-03,,2019,Aug,1st,Saturday and Sunday,"3,4",,Chattahoochee Sacred Harp Convention,9:30 a.m.,Wilson’s Chapel,,Southeast of Carrollton (Carroll County),GA,USA,3,"From the southeastern section of 166 (Carrollton bypass) turn south on OLD Newnan Road, at fork, bear left onto Cross Plains Rd—at three way intersection, bear right onto dirt road, Chapel on left.—From Alabama—Exit I20 at US Hwy 27, turn right, go about 10 miles, turn left at light onto Linda Lane, continue several miles until light at Old Newnan Road, turn left, after passing Cross Plains on right, keep straight after sharp curve, Chapel on left",,John Plunkett,,,
206,2019-08-04,,2019,Aug,1st,Sunday,4,,Fayette County Convention,9:30 a.m.,Mt. Lebanon Baptist Church,,Fayette County,AL,USA,3,,,,,,
207,2019-08-04,,2019,Aug,1st,Sunday,4,,Bulgar-Cockcroft Memorial,,Red Oak Church,Hwy 55,between Andalusia and Florala,AL,USA,1,,,Billy Kelley,,,
208,2019-08-10,,2019,Aug,2nd,Saturday,10,,Calhoun County Convention,9:30 a.m.,Bethel Primitive Baptist Church,Highway 9,one mile north of Bruce,MS,USA,3,—church is on the right.,,,,,
209,2019-08-10,,2019,Aug,2nd,Saturday,10,,East Kentucky All-Day Singing,10:00 a.m.,Calvary Campus,31 Stuart Robinson Road,Letcher,KT,USA,3,"from Hwy 15, turn on to Route 7 South at Isom and drive about 10 minutes—Calvary Campus is on the right",,Ben Fink,,,
210,2019-08-10,,2019,Aug,2nd,Saturday,10,,Ann Sleeva Memorial Cooper Book Singing,10:00 a.m.,,,Chicago,IL,USA,1,,,chicagosingings.org,,,
211,2019-08-10,,2019,Aug,2nd,Saturday,10,,Winchester Singing,,,,"Winchester, Hampshire",,UK,3,,,ukshapenote.org.uk/,,,
212,2019-08-10,,2019,Aug,2nd,Saturday and Sunday,"10,11",,East Texas Sacred Harp Convention,,Henderson Civic Center,1500 Lake Forest Parkway,Henderson (Rusk County),TX,USA,1,,,Robert Vaughn,,,
213,2019-08-17,,2019,Aug,3rd,Saturday,17,,Cooper Book Singing,,Ramah Primitive Baptist Church,County Hwy. 6,Lenox (Conecuh County),AL,USA,3,"On County Hwy. 6, about 4 miles west of I-65 near Lenox",,Hubert Nall,,,
214,2019-08-17,,2019,Aug,3rd,Saturday,17,,B.M. Smith Memorial Singing,10:00 a.m.,Rome-Midway Primitive Baptist Church,"5585 Martha Berry Hwy, NE",Armuchee,GA,USA,3,Eight miles north of Rome on US 27,,Hayden Arp,,,
215,2019-08-17,,2019,Aug,3rd,Saturday,17,,Central New Jersey Singing (formerly Princeton All-Day Singing),,Reformed Church of Highland Park,19 S. 2nd Ave.,Highland Park,NJ,USA,3,,,Leon Pulsinelle,,,
216,2019-08-17,,2019,Aug,3rd,Saturday,17,,Mt. Rainier Singing,,Buckley Hall,127 N. River Ave. (between Main St. and Cottage St.),Buckley,WA,USA,1,,,Karen Willard,,,
217,2019-08-18,,2019,Aug,3rd,Sunday,18,,Willard Birthday Singing,,Buckley Hall,127 N. River Ave. (between Main St. and Cottage St.),Buckley,WA,USA,3,,,Karen Willard,,,
218,2019-08-18,,2019,Aug,3rd,Sunday,18,,Cleburne County Convention,9:30 a.m.,Edwardsville Baptist Church,,Edwardsville (Cleburne County),AL,USA,3,,,Cecil Roberts,,,
219,2019-08-18,,2019,Aug,3rd,Sunday,18,,"Emma Beasley, Belton Beasley, and Phillip Lee, III Memorial",,Concord Primitive Baptist Church,575 County Hwy 173,Winfield (Marion County),AL,USA,3,,,Marlin Beasley,,,
220,2019-08-18,,2019,Aug,3rd,Sunday,18,,Cedar Creek Singing,,Mt. Pisgah Primitive Baptist Church,1753 Evergreen Rd.,Sylvester,GA,USA,3,,,Tim Meeks,,,
221,2019-08-24,,2019,Aug,4th,Saturday,24,,Palo Alto Singing,,UU Church of Palo Alto,505 E. Charleston Rd.,Palo Alto,CA,USA,3,,,Dan Harper,,,
222,2019-08-24,,2019,Aug,4th,Saturday,24,,Cork All-Day Singing,,St. Fin Barre's Cathedral Hall,Dean Street,Cork,,Ireland,3,,,corksacredharp@gmail.com,,,
223,2019-08-24,,2019,Aug,4th,Saturday and Sunday,"24,25",,Central Ontario Convention,9:30 a.m. EDT,Saturday: Friends House / Sunday: Detweiler Meeting House,Saturday: 60 Lowther Ave. / Sunday: 3445 Roseville Rd.,Saturday: Toronto / Sunday: North Dumfries Township (near Kitchener/Waterloo),ON,Canada,3,,,"Pleasance Crawford, Jan May or Frank Griggs. Also torontoshapenote.org",,,
224,2019-08-24,,2019,Aug,4th,Saturday and Sunday,"24,25",,Mississippi State Convention,9:30 a.m.,Antioch Primitive Baptist Church,,near Forest (Scott County),MI,USA,"3, 1, 9, 2",,,Mark Davis,,,
225,2019-08-24,,2019,Aug,4th,Saturday and Sunday,"24,25",,Lookout Mountain Convention,9:30 a.m.,Pine Grove Church,,near Collinsville (DeKalb County),AL,USA,3,,,Rodney Ivey,,,
226,2019-08-31,,2019,Sep,1st,Saturday,31,,New Providence Primitive Baptist Church,,New Providence Primitive Baptist Church,,Ringgold,LA,USA,"3, 1",,,Robert Vaughn,,,
227,2019-08-31,,2019,Sep,1st,Saturday,31,,Georgian Harmony Singing,,Roberta Civic Center,South Matthews St.,Roberta,GA,USA,3,,,John Plunkett or Oscar McGuire,,,
228,2019-08-31,,2019,Sep,1st,Saturday,31,,Maidencreek Friends Meetinghouse,,Maidencreek Friends Meetinghouse,,near Leesport (Berks County),PA,USA,3,,Saturday of Labor Day Weekend,Ted Stokes,,,
229,2019-08-31,,2019,Sep,1st,Saturday,31,,Covington County Convention,,Pleasant Home Baptist Church,County Road 14 (Eagle Rd.),Andalusia,AL,USA,1,Singing held at various locations,,Wayne Jones,,,
230,2019-09-01,,2019,Sep,1st,Sunday,1,,Fox Valley Folk Festival Singing,11:30 a.m.,Island Park,,Geneva,IL,USA,3,,Always the Sunday before Labor Day,chicagosingings.org,,,
231,2019-09-01,,2019,Sep,1st,Sunday,1,,Clear Creek West Convention/Mulberry River Convention,9:30 a.m.,County Line Church,,Jefferson County,AL,USA,3,"Convention held in even years at Pleasant Hill Church (Johnson Schoolhouse), Fayette County, Alabama +, and in odd years at County Line Church, Jefferson County, Alabama +",,Danny Creel or Elene Stovall,,,
